dimension;subsistema;grupo;personas;promedio_mayo_junio_2025;promedio_mayo_junio_2026;perdida_total_dias;diferencia_promedio;variacion_promedio_pct;contribucion_perdida_pct
transicion_ciclo;Secundaria;3er. ciclo ebi → 3er. ciclo ebi;62057;15,571265127221748;10,814041929194127;295219;-4,757223198027621;-30,551295345366793;47,09969431840663
transicion_ciclo;Secundaria;3er. ciclo ebi → 4to. ciclo;22105;15,493010631078942;10,157294729699164;117946;-5,335715901379778;-34,43950326011102;18,81728664509665
transicion_ciclo;Secundaria;3er. ciclo ebi → ciclo basico;1273;5,006284367635507;1,6567164179104477;4264;-3,349567949725059;-66,90726502432136;0,6802851326428375
transicion_ciclo;Secundaria;4to. ciclo → 4to. ciclo;46126;13,370940467415341;9,70873260200321;168923;-3,6622078654121317;-27,389306491468147;26,950235802398225
transicion_ciclo;Secundaria;4to. ciclo → bachillerato;3091;8,549013264315755;2,0129407958589454;20203;-6,53607246845681;-76,45411542100284;3,2232177614407242
transicion_ciclo;Secundaria;bachillerato → bachillerato;10386;4,13787791257462;2,612844213364144;15839;-1,5250336992104758;-36,85545420699926;2,5269784746552304
transicion_ciclo;Secundaria;ciclo basico → bachillerato;953;5,506820566631689;3,44700944386149;1963;-2,059811122770199;-37,4047256097561;0,3131800458203307
transicion_ciclo;Secundaria;ciclo basico → ciclo basico;2464;4,364853896103896;3,375;2439;-0,9898538961038961;-22,67782426778243;0,38912181953937164
transicion_ciclo;UTU;bachillerato tecnico profesional → bachillerato tecnico profesional;10183;7,242855739958755;5,400373170971227;18762;-1,8424825689875286;-25,438620278222203;15,724498604557608
transicion_ciclo;UTU;bachillerato tecnico profesional → bachillerato tecnologico;608;4,7319078947368425;6,003289473684211;-773;1,2713815789473681;26,86826555439694;-0,6478540358875936
transicion_ciclo;UTU;bachillerato tecnologico → bachillerato tecnico profesional;560;6,951785714285714;3,4375;1968;-3,5142857142857142;-50,55227331107115;1,6493877653645332
