subsistema;ID_CENTRO;personas;promedio_mayo_junio_2025;promedio_mayo_junio_2026;perdida_total_dias;diferencia_promedio;variacion_promedio_pct
Secundaria;centro_0172;432;18,89814814814815;9,018518518518519;4268;-9,87962962962963;-52,27829495345419
Secundaria;centro_0174;508;19,15748031496063;10,549212598425196;4373;-8,608267716535433;-44,93423756678997
Secundaria;centro_0178;867;19,53863898500577;12,484429065743944;6116;-7,054209919261824;-36,10389610389612
Secundaria;centro_0180;511;11,176125244618396;8,16242661448141;1540;-3,013698630136986;-26,965505165470137
Secundaria;centro_0182;171;14,970760233918128;9,912280701754385;865;-5,058479532163743;-33,7890625
Secundaria;centro_0184;805;10,967701863354037;7,592546583850932;2717;-3,3751552795031055;-30,77358704270019
Secundaria;centro_0188;664;13,490963855421686;11,275602409638553;1471;-2,2153614457831328;-16,421076133065416
Secundaria;centro_0190;253;13,881422924901186;9,577075098814229;1089;-4,304347826086957;-31,007972665148063
Secundaria;centro_0195;645;7,674418604651163;6,5813953488372094;705;-1,0930232558139537;-14,242424242424246
Secundaria;centro_0197;657;6,812785388127854;5,083713850837139;1136;-1,7290715372907153;-25,37980339588919
Secundaria;centro_0199;394;10,467005076142131;4,5761421319796955;2321;-5,890862944162436;-56,280310378273526
Secundaria;centro_0200;776;9,278350515463918;5,72680412371134;2756;-3,551546391752578;-38,27777777777778
Secundaria;centro_0201;1018;14,3811394891945;9,916502946954813;4545;-4,4646365422396865;-31,045081967213118
Secundaria;centro_0202;750;13,101333333333333;8,021333333333333;3810;-5,08;-38,77467942194179
Secundaria;centro_0203;340;13,608823529411765;9,288235294117648;1469;-4,320588235294117;-31,74843311000648
Secundaria;centro_0204;148;19,52027027027027;12,75;1002;-6,77027027027027;-34,68328141225337
Secundaria;centro_0210;182;6,115384615384615;4,906593406593407;220;-1,208791208791208;-19,766397124887682
Secundaria;centro_0212;189;16,275132275132275;16,142857142857142;25;-0,132275132275133;-0,8127438231469442
Secundaria;centro_0221;386;13,94818652849741;6,7642487046632125;2773;-7,183937823834197;-51,50445765230312
Secundaria;centro_0228;1061;17,19981149858624;10,358152686145147;7259;-6,841658812441093;-39,777522056003065
Secundaria;centro_0231;473;18,260042283298098;13,209302325581396;2389;-5,0507399577167025;-27,66006715294662
Secundaria;centro_0232;640;8,5140625;5,9328125;1652;-2,58125;-30,317489447605062
Secundaria;centro_0234;967;13,279214064115822;8,829369183040331;4303;-4,4498448810754905;-33,5098512576902
Secundaria;centro_0243;552;11,318840579710145;3,8043478260869565;4148;-7,514492753623188;-66,38924455825864
Secundaria;centro_0244;58;9,0;9,551724137931034;-32;0,5517241379310338;6,130268199233702
Secundaria;centro_0246;405;16,320987654320987;12,54320987654321;1530;-3,777777777777777;-23,14674735249621
Secundaria;centro_0249;524;15,141221374045802;10,01526717557252;2686;-5,125954198473282;-33,854297958154774
Secundaria;centro_0250;247;3,5789473684210527;2,396761133603239;292;-1,1821862348178138;-33,0316742081448
Secundaria;centro_0251;1167;11,952870608397602;8,567266495287061;3951;-3,3856041131105403;-28,324611083231776
Secundaria;centro_0252;633;15,638230647709321;9,236966824644549;4052;-6,401263823064772;-40,93342761895141
Secundaria;centro_0253;487;9,119096509240247;6,318275154004107;1364;-2,80082135523614;-30,71380319747805
Secundaria;centro_0260;397;13,801007556675064;9,52896725440806;1696;-4,272040302267003;-30,954553750684433
Secundaria;centro_0265;705;16,770212765957446;10,991489361702127;4074;-5,778723404255318;-34,4582593250444
Secundaria;centro_0268;319;18,294670846394986;12,460815047021944;1861;-5,833855799373042;-31,88827964359151
Secundaria;centro_0270;388;18,00515463917526;15,50257731958763;971;-2,5025773195876297;-13,899227025479533
Secundaria;centro_0274;246;18,252032520325205;16,447154471544714;444;-1,8048780487804912;-9,888641425389777
Secundaria;centro_0277;404;13,933168316831683;8,913366336633663;2028;-5,01980198019802;-36,027713625866056
Secundaria;centro_0278;289;18,238754325259517;14,934256055363322;955;-3,304498269896195;-18,118004173781067
Secundaria;centro_0284;308;16,133116883116884;13,672077922077921;758;-2,4610389610389625;-15,254578385993167
Secundaria;centro_0286;341;19,038123167155426;10,782991202346041;2815;-8,255131964809385;-43,36105976586568
Secundaria;centro_0289;203;7,192118226600985;3,9655172413793105;655;-3,2266009852216744;-44,86301369863013
Secundaria;centro_0292;885;12,531073446327683;11,134463276836158;1236;-1,3966101694915256;-11,145175834084764
Secundaria;centro_0293;499;25,180360721442884;19,877755511022045;2646;-5,30260521042084;-21,058495821727007
Secundaria;centro_0294;153;4,830065359477124;11,673202614379084;-1047;6,8431372549019605;141,67794316644114
Secundaria;centro_0297;917;13,142857142857142;7,344601962922574;5317;-5,798255179934569;-44,117158977763026
Secundaria;centro_0298;513;18,50682261208577;12,637426900584796;3011;-5,8693957115009745;-31,714767221402994
Secundaria;centro_0299;280;22,660714285714285;12,471428571428572;2853;-10,189285714285713;-44,9645390070922
Secundaria;centro_0300;313;11,3258785942492;9,1629392971246;677;-2,1629392971246;-19,097320169252463
Secundaria;centro_0304;136;6,955882352941177;3,536764705882353;465;-3,419117647058824;-49,15433403805497
Secundaria;centro_0307;184;6,929347826086956;2,5434782608695654;807;-4,385869565217391;-63,29411764705881
Secundaria;centro_0315;620;17,108064516129033;12,509677419354839;2851;-4,598387096774195;-26,878476477797687
Secundaria;centro_0316;236;13,016949152542374;9,754237288135593;770;-3,2627118644067803;-25,065104166666675
Secundaria;centro_0317;236;18,56779661016949;9,466101694915254;2148;-9,101694915254237;-49,018712916476495
Secundaria;centro_0320;304;7,092105263157895;9,095394736842104;-609;2,0032894736842097;28,24675324675323
Secundaria;centro_0321;195;7,512820512820513;4,533333333333333;581;-2,9794871794871796;-39,65870307167235
Secundaria;centro_0323;775;12,51741935483871;7,708387096774193;3727;-4,809032258064517;-38,41871971961653
Secundaria;centro_0337;233;13,360515021459227;11,965665236051501;325;-1,3948497854077253;-10,440089945390296
